,Author,Title,Lyrics
31,The Smiths,“I Started Something I Couldn’t Finish” (1987),
32,The Smiths,“Never Had No One Ever” (1986),"Never Had No One Ever par The Smiths\nWhen you walk without ease\n\n\nOn these\n\n\nStreets were you were raised\n\n\nI had a really bad dream\n\n\nIt lasted 20 years, 7 months, and 27 days\n\n\nI never, I'm alone, and I\n\n\nNever, ever oh ... had no one ever\n\n\n\n\n\nNow I'm outside your house\n\n\nI'm alone\n\n\nAnd I'm outside your house\n\n\nI hate to intrude ...\n\n\nOh, Alone, I'm Alone, I'm Alone, I'm Alone\n\n\nI'm Alone\n\n\nI'm Alone\n\n\nAnd I never, never ... oh ... had no one ever\n\n\n\n\n\n\nI never had no one ever\n\n\nI never had no, no one ever\n\n\nHad no one never\n\n\nNever ... no ...\n\n\nOh ..."
33,The Smiths,“Rubber Ring” (1985),"Rubber Ring par The Smiths\nA sad fact widely known\n\n\nThe most impassionate song\n\n\nTo a lonely soul\n\n\nIs so easily outgrown\n\n\nBut don't forget the songs\n\n\nThat made you smile\n\n\nAnd the songs that made you cry\n\n\nWhen you lay in awe\n\n\nOn the bedroom floor\n\n\nAnd said : \""Oh, oh, smother me Mother...\""\n\n\nNo...\n\n\nRubber ring, rubber ring, rubber ring, rubber ring\n\n\nLa...\n\n\n\n\n\nThe passing of time\n\n\n\n\n\n\nAnd all of its crimes\n\n\nIs making me sad again\n\n\nThe passing of time\n\n\nAnd all of its sickening crimes\n\n\nIs making me sad again\n\n\nBut don't forget the songs\n\n\nThat made you cry\n\n\nAnd the songs that saved your life\n\n\nYes, you're older now\n\n\nAnd you're a clever swine\n\n\nBut they were the only ones who ever stood by you\n\n\n\n\n\nThe passing of time leaves empty lives\n\n\nWaiting to be filled (the passing...)\n\n\nThe passing of time\n\n\nLeaves empty lives\n\n\nWaiting to be filled\n\n\nI'm here with the cause\n\n\n\n\n\n\nI'm holding the torch\n\n\nIn the corner of your room\n\n\nCan you hear me?\n\n\nAnd when you're dancing and laughing\n\n\nAnd finally living\n\n\nHear my voice in your head\n\n\nAnd think of me kindly\n\n\nNo...\n\n\nRubber ring, rubber ring, rubber ring, rubber ring\n\n\nLa...\n\n\nNo...\n\n\nRubber ring, rubber ring, rubber ring, rubber ring\n\n\n\n\n\nDo you\n\n\nLove me like you used to?\n\n\nOh...\n\n\n\n\n\n\nRubber ring, rubber ring, rubber ring, rubber ring\n\n\nLa...\n\n\n\n\n\nYou're clever\n\n\nEverybody's clever nowadays\n\n\nYou're clever\n\n\nEverybody's clever nowadays\n\n\n\n\n\nYou are sleeping\n\n\nYou do not want to believe\n\n\nYou are sleeping\n\n\nYou do not want to believe\n\n\nYou are sleeping\n\n\nYou do not want to believe\n\n\nYou are sleeping"
34,The Smiths,“The Headmaster Ritual” (1985),The Headmaster Ritual par The Smiths\nBelligerent ghouls\n\n\nrun Manchester schools\n\n\nspineless swines\n\n\ncemented minds\n\n\nSir leads the troops\n\n\njealous of youth\n\n\nsame old suit since 1962\n\n\nhe does the military two-step\n\n\ndown the nape of my neck\n\n\nI wanna go home\n\n\nI don't want to stay\n\n\ngive up education\n\n\nas a bad mistake\n\n\nmid-week on the playing fields\n\n\nSir thwacks you on the knees\n\n\nknees you in the groin\n\n\n\n\n\n\nelbow in the face\n\n\nbruises bigger than dinner plates\n\n\nI wanna go home\n\n\nI don't want to stay\n\n\n\n\n\nBelligerent ghouls\n\n\nrun Manchester schools\n\n\nspineless bastards all\n\n\nSir leads the troops\n\n\njealous of youth\n\n\nsame old jokes since 1902\n\n\nhe does the military two-step\n\n\ndown the nape of my neck\n\n\nI wanna go home\n\n\nI don't want to stay\n\n\ngive up life\n\n\nas a bad mistake\n\n\nplease excuse me from the gym\n\n\n\n\n\n\nI've got this terrible cold coming on\n\n\nhe grabs and devours\n\n\nkicks me in the showers\n\n\nand he grabs and devours\n\n\nI wanna go home\n\n\nI don't want to stay
35,The Smiths,“London” (1986),London par The Smiths\nSmoke\n\n\nLingers 'round your fingers\n\n\nTrain\n\n\nHeave on - to Euston\n\n\nDo you think you've made\n\n\nThe right decision this time?\n\n\nOh...\n\n\n\n\n\nYou left\n\n\nYour tired family grieving\n\n\nAnd you think they're sad because you're leaving\n\n\nBut did you see Jealousy in the eyes\n\n\nOf the ones who had to stay behind?\n\n\nAnd do you think you've made\n\n\nThe right decision this time?\n\n\n\n\n\n\n\n\n\nYou left\n\n\nYour girlfriend on the platform\n\n\nWith this really ragged notion that you'll return\n\n\nBut she knows\n\n\nThat when he goes\n\n\nHe really goes\n\n\nAnd do you think you've made\n\n\nThe right decision this time?
36,The Smiths,“That Joke Isn’t Funny Anymore” (1985),
37,The Smiths,“A Rush and a Push and the Land Is Ours” (1987),"Rush And A Push And The Land Is Ours par The Smiths\nOH HELLO\n\nI am the ghost of Troubled Joe\n\nHung by his pretty white neck\n\nSome eighteen months ago\n\nI travelled to a mystical time zone\n\nAnd I missed my bed\n\nAnd I soon came home\n\n\n\nThey said :\n\n\""There's too much caffeine\n\nIn your bloodstream\n\nAnd a lack of real spice\n\nIn your life\""\n\n\n\n\n\nI said :\n\n\n\n\n\n\""Leave me alone\n\nBecause I'm alright, dad\n\nSurprised to still\n\nBe on my own...\""\n\n\n\n\n\nOh, but don't mention love\n\nI'd hate the strain of the pain again\n\nA rush and a push and the land that\n\nWe stand on is ours\n\nIt has been before\n\nSo it shall be again\n\nAnd people who are uglier than you and I\n\nThey take what they need, and just leave\n\n\n\n\n\nOh, but don't mention love\n\nI'd hate the pain of the strain all over again\n\n\n\n\n\nA rush and a push and the land that\n\nWe stand on is ours\n\nIt has been before\n\nSo why can't it be now ?\n\nAnd people who are weaker than you and I\n\nThey take what they want from life\n\n\n\n\n\nOh, but don't mention love\n\nNo - no, don't mention love !\n\nA rush and a push and the land that\n\nWe stand on is ours\n\nYour youth may be gone\n\nBut you're still a young man\n\nSo phone me, phone me, phone me\n\nSo phone me, phone me, phone me\n\n\n\n\n\n\n\n\n\nOh, I think I'm in love\n\nOh, I think I'm in love\n\nOh, I think I'm in love (think I'm in love)\n\nUrrgh, I think I'm in lerv\n\nOh ..."
38,The Smiths,“I Want the One I Can’t Have” (1985),
39,The Smiths,“Girlfriend in a Coma” (1987),"Girlfriend In A Coma par The Smiths\nGirlfriend in a coma, I know\n\n\nI know - it's serious\n\n\nGirlfriend in a coma, I know\n\n\nI know - it's really serious\n\n\n\n\n\nThere were times when I could\n\n\nHave \""murdered\"" her\n\n\n(But you know, I would hate\n\n\nAnything to happen to her)\n\n\n\n\n\nNO, I DON'T WANT TO SEE HER\n\n\n\n\n\n\n\n\nDo you really think\n\n\nShe'll pull through ?\n\n\nDo you really think\n\n\n\n\n\n\nShe'll pull through ?\n\n\nDo ...\n\n\n\n\n\nGirlfriend in a coma, I know\n\n\nI know - it's serious\n\n\nMy, my, my, my, my, my baby, goodbye\n\n\n\n\n\nThere were times when I could\n\n\nHave \""strangled\"" her\n\n\n(But you know, I would hate\n\n\nAnything to happen to her)\n\n\nWOULD YOU PLEASE\n\n\nLET ME SEE HER !\n\n\n\n\n\nDo you really think\n\n\nShe'll pull through ?\n\n\nDo you really think\n\n\nShe'll pull through ?\n\n\n\n\n\n\nDo ...\n\n\nLet me whisper my last goodbyes\n\n\n\n\n\nI know - IT'S SERIOUS"
40,The Smiths,“Sheila Take a Bow” (1987),"Sheila Take A Bow par The Smiths\nIs it wrong to want to live on your own?\n\n\nNo, it's not wrong - but I must know\n\n\nHow can someone so young\n\n\nSing words so sad?\n\n\n\n\n\nSheila take a, Sheila take a bow\n\n\nBoot the grime of this world in the crotch, dear\n\n\nAnd don't go home tonight\n\n\nCome out and find the one that you love and who loves you\n\n\nThe one that you love and who loves you\n\n\nOh...\n\n\n\n\n\nIs it wrong not to always be glad?\n\n\nNo, it's not wrong - but I must add\n\n\nHow can someone so young\n\n\n\n\n\n\nSing words so sad?\n\n\n\n\n\nSheila take a, Sheila take a bow\n\n\nBoot the grime of this world in the crotch, dear\n\n\nAnd don't go home tonight\n\n\nCome out and find the one that you love and who loves you\n\n\nThe one that you love and who loves you\n\n\n\n\n\nTake my hand and off we stride\n\n\nOh, la...\n\n\nYou're a girl and I'm a boy\n\n\nLa...\n\n\nTake my hand and off we stride\n\n\nOh, la...\n\n\nI'm a girl and you're a boy\n\n\nLa...\n\n\n\n\n\n\n\n\n\nSheila take a, Sheila take a bow\n\n\nLa...\n\n\nThrow your homework onto the fire\n\n\nCome out and find the one that you love\n\n\nCome out and find the one you love"
41,The Smiths,“Frankly Mr. Shankly” (1986),"Frankly, Mr. Shankly par The Smiths\nFrankly, Mr Shankly, this position I've held\n\n\nIt pays my way and it corrodes my soul\n\n\nI want to leave you will not miss me\n\n\nI want to go down in musical history\n\n\n\n\n\nFrankly, Mr Shankly, I'm a sickening wreck\n\n\nI've got the 21st century breathing down my neck\n\n\nI must move fast, you understand me\n\n\nI want to go down in celluloid history Mr Shankly\n\n\n\n\n\nFame, fame, fatal fame\n\n\nIt can play hideous tricks on the brain\n\n\nBut still I rather be famous\n\n\nThan righteous or holy, any day, any day, any day\n\n\n\n\n\nBut sometimes I'd feel more fulfilled\n\n\n\n\n\n\nMaking Christmas cards with the mentally ill\n\n\nI want to live and I want to love\n\n\nI want to catch something that I might be ashamed of\n\n\n\n\n\nFrankly, Mr Shankly, this position I've held\n\n\nIt pays my way and it corrodes my soul\n\n\nOh, I didn't realise that you wrote poetry\n\n\nI didn't realise you wrote such bloody awful poetry Mr Shankly\n\n\n\n\n\nFrankly, Mr Shankly, since you ask\n\n\nYou are a flatulent pain the arse\n\n\nI do not mean to be so rude\n\n\nBut still, I must speak frankly, Mr Shankly, give us money"
42,The Smiths,“What She Said” (1985),"What She Said par The Smiths\nWhat she said:\n\n\n\""How come someone hasn't noticed\n\n\nthat I'm dead\n\n\nand decided to bury me\n\n\nGod knows, I'm ready\""\n\n\nWhat she said was sad\n\n\nbut then, all the rejections she's had\n\n\nto pretend to be happy\n\n\ncould only be idiocy\n\n\nWhat she said was not for the job or\n\n\nlover that she never had\n\n\nWhat she read\n\n\nall heady books\n\n\nshe'd sit and prophesise\n\n\n(it took a tattooed boy from\n\n\nBirkenhead\n\n\n\n\n\n\nto really really open her eyes)\n\n\nWhat she said:\n\n\n\""I smoke 'cos I'm hoping for an\n\n\nearly death\n\n\nAND I NEED TO CLING TO SOMETHING !\""\n\n\nWhat she said:\n\n\n\""I smoke 'cos I'm hoping for an\n\n\nearly death\n\n\nAND I NEED TO CLING TO SOMETHING !\"""
43,The Smiths,“Is It Really So Strange?” (1986),"Is It Really So Strange? par The Smiths\nI left the North\n\n\nI travelled South\n\n\nI found a tiny house\n\n\nAnd I can't help the way I feel\n\n\nOh yes, you can kick me\n\n\nAnd you can punch me\n\n\nAnd you can break my face\n\n\nBut you won't change the way I feel\n\n\n'Cause I love you\n\n\nOh...\n\n\n\n\n\nAnd is it really so strange?\n\n\nOh, is it really so strange?\n\n\nOh, is it really so, really so strange?\n\n\nI say NO, you say YES\n\n\n(and you will change your mind)\n\n\n\n\n\n\n\n\n\nI left the South\n\n\nI travelled North\n\n\nI got confused - I killed a horse\n\n\nI can't help the way I feel\n\n\nOh yes, you can punch me\n\n\nAnd you can butt me\n\n\nAnd you can break my spine\n\n\nBut you won't change the way I feel\n\n\n'Cause I love you\n\n\nOh...\n\n\n\n\n\nAnd is it really so strange?\n\n\nOh, is it really so strange?\n\n\nOh, is it really so, really so strange?\n\n\nI say NO, you say YES\n\n\n(But you will change your mind)\n\n\n\n\n\n\n\n\n\nI left the North again\n\n\nI travelled South again\n\n\nAnd I got confused - I killed a nun\n\n\nI CAN'T HELP THE WAY I FEEL\n\n\nI CAN'T HELP THE WAY I FEEL\n\n\nI CAN'T HELP THE WAY I FEEL\n\n\n(I lost my bag in Newport Pagnell)\n\n\n\n\n\nWhy is the last mile the hardest mile?\n\n\nMy throat was dry, with the sun in my eyes\n\n\nAnd I realised, I realised\n\n\nI could never\n\n\nI could never, never, never, go back home again"
44,The Smiths,“Unloveable” (1986),"Unloveable par The Smiths\nOh ...\n\nI know I'm unloveable\n\nYou don't have to tell me\n\nI don't have much in my life\n\nBut take it - it's yours\n\nI don't have much in my life\n\nBut take it - it's yours\n\nOh ...\n\n\n\nI know I'm unloveable\n\nYou don't have to tell me\n\nOh, message received\n\nLoud and clear\n\nLoud and clear\n\nI don't have much in my life\n\nBut take it - it's yours\n\n\n\n\n\n\n\nI know I'm unloveable\n\nYou don't have to tell me\n\nFor message received\n\nLoud and clear\n\nLoud and clear\n\nMessage received\n\nI don't have much in my life\n\nBut take it - it's yours\n\n\n\nI wear Black on the outside\n\n'Cause Black is how I feel on the inside\n\nI wear Black on the outside\n\n'Cause Black is how I feel on the inside\n\n\n\nAnd if I seem a little strange\n\nWell, that's because I am\n\nIf I seem a little strange\n\n\n\n\n\nThat's because I am\n\n\n\nBut I know that you would like me\n\nIf only you could see me\n\nIf only you could meet me\n\n\n\nOh ...\n\nI don't have much in my life\n\nBut take it - it's yours\n\nI don't have much in my life\n\nBut take it - it's yours\n\nMmm ...\n\nOh ..."
45,The Smiths,“The Boy With the Thorn in His Side” (1985),The Boy With The Thorn In His Side par The Smiths\nThe boy with the thorn in his side\n\n\nBehind the hatred there lies\n\n\nA murderous desire for love\n\n\n\n\n\nHow can they look into my eyes\n\n\nAnd still they don't believe me\n\n\nHow can they hear me say those words\n\n\nAnd still they don't believe me\n\n\nAnd if they don't believe me now\n\n\nWill they ever believe me?\n\n\nAnd if they don't believe me now\n\n\nWill they ever believe me?\n\n\n\n\n\nThe boy with the thorn in his side\n\n\nBehind the hatred there lies\n\n\nA plundering desire for love\n\n\n\n\n\n\n\n\n\nHow can they see the love in our eyes\n\n\nAnd still they don't believe us\n\n\nAnd after all this time\n\n\nThey don't want to believe us\n\n\nAnd if they don't believe us now\n\n\nWill they ever believe us?\n\n\nAnd when you want to live\n\n\nHow do you start?\n\n\nWhere do you go?\n\n\nWho do you know?
46,The Smiths,“You’ve Got Everything Now” (1984),
47,The Smiths,“Shakespeare’s Sister” (1985),
48,The Smiths,“What Difference Does It Make?” (1984),"What Difference Does It Make? par The Smiths\nAll men have secrets and here is mine so let it be known\n\n\nwe have been through hell and high tide\n\n\nI can surely rely on you\n\n\nand yet you start to recoil\n\n\nheavy words are so lightly thrown\n\n\nbut I'd still leap in front of a flying bullet for you\n\n\n\n\n\nSo what difference does it make?\n\n\nso what difference does it make?\n\n\nit makes none, but now you have gone\n\n\nand you must be looking very old tonight\n\n\n\n\n\nThe devil will find work for idle hands to do\n\n\nI stole and I lied, and why? because you asked me to\n\n\n\n\n\n\nbut now you make me feel so ashamed\n\n\nbecause I've only got two hands\n\n\nwell, I'm still fond of you\n\n\n\n\n\nSo what difference does it make?\n\n\nso what difference does it make?\n\n\nit makes none, but now you have gone\n\n\nand your prejudice won't keep you warm tonight\n\n\n\n\n\nOh the devil will find work for idle hands to do\n\n\nI stole and then I lied just because you asked me to\n\n\nbut now you know the truth about me\n\n\nyou won't see me anymore\n\n\nwell, I'm still fond of you\n\n\n\n\n\nBut no more apologies\n\n\nno more apologies\n\n\n\n\n\n\nI'm too tired, I'm so very tired\n\n\nand I'm feeling very sick and ill today\n\n\nbut I'm still fond of you"
49,The Smiths,“Shoplifters of the World Unite” (1987),"Shoplifters Of The World Unite par The Smiths\nLearn to love me\n\n\nAssemble the ways\n\n\nNow, today, tomorrow and always\n\n\nMy only weakness is a list of crime\n\n\nMy only weakness is... well, never mind, never mind\n\n\n\n\n\nOh, shoplifters of the world\n\n\nUnite and take over\n\n\nShoplifters of the world\n\n\nHand it over\n\n\nHand it over\n\n\nHand it over\n\n\n\n\n\nLearn to love me\n\n\nAnd assemble the ways\n\n\n\n\n\n\nNow, today, tomorrow, and always\n\n\nMy only weakness is a listed crime\n\n\nBut last night the plans of a future war\n\n\nWas all I saw on Channel Four\n\n\n\n\n\nShoplifters of the world\n\n\nUnite and take over\n\n\nShoplifters of the world\n\n\nHand it over\n\n\nHand it over\n\n\nHand it over\n\n\n\n\n\nA heartless hand on my shoulder\n\n\nA push - and it's over\n\n\nAlabaster crashes down\n\n\n(Six months is a long time)\n\n\nTried living in the real world\n\n\nInstead of a shell\n\n\n\n\n\n\nBut before I began...\n\n\nI was bored before I even began\n\n\n\n\n\nShoplifters of the world\n\n\nUnite and take over\n\n\nShoplifters of the world\n\n\nUnite and take over\n\n\nShoplifters of the world\n\n\nUnite and take over\n\n\nShoplifters of the world\n\n\nTake over"
0,U2,40," the Lord\nHe inclined and heard my cry\nHe brought me up out of the pit\nOut of the miry clay\n\nI will sing, sing a new song\nI will sing, sing a new song\nHow long to sing this song?\nHow long to sing this song?\nHow long, how long, how long\nHow long to sing this song?\n\nYou set my feet upon a rock\nAnd made my footsteps firm\nMany will see, many will see and hear\n\nI will sing, sing a new song\nI will sing, sing a new song\nI will sing, sing a new song\nI will sing, sing a new song\n\nHow long to sing this song?\nHow long to sing this song?\nHow long to sing this song?\nHow long to sing this song?"
1,U2,Numb," out of time\nDon't think\nDon't worry\nEverything's just fine\nJust fine\n\nDon't grab\nDon't clutch\nDon't hope for too much\nDon't breathe\nDon't achieve\nOr grieve without leave\n\nDon't check\nJust balance on the fence\nDon't answer\nDon't ask\nDon't try and make sense\n\nDon't whisper\nDon't talk\nDon't run if you can walk\nDon't cheat, compete\nDon't miss the one beat\n\nDon't travel by train\nDon't eat\nDon't spill\nDon't piss in the drain\nDon't make a will\n\nDon't fill out any forms\nDon't compensate\nDon't cower\nDon't crawl\nDon't come around late\nDon't hover at the gate\n\nDon't take it on board\nDon't fall on your sword\nJust play another chord\nIf you feel you're getting bored\n\nI feel numb\nI feel numb\nToo much is not enough\nI feel numb\n\nDon't change your brand (gimme what you got)\nDon't listen to the band\nDon't gape (gimme what I don't get)\nDon't ape\nDon't change your shape (gimme some more)\nHave another grape\nToo much is not enough\n(I feel numb)\n(Gimme some more)\nA piece of me, baby\n\n(I feel numb)\nDon't plead\nDon't bridle\nDon't shackle\nDon't grind (gimme some more)\nDon't curve\nDon't swerve (I feel numb)\nLie, die, serve (gimme some more)\n\n(I feel numb)\nDon't theorize, realize, polarize\nChance, dance, dismiss, apologize\n(Gimme what you got)\n(Gimme what I don't get)\n(Gimme what you got)\n(Too much is not enough)\n\n(I feel numb)\nDon't spy\nDon't lie\nDon't try\nImply\nDetain, explain\nStart again (I feel numb)\n\n(I feel numb)\nDon't triumph\nDon't coax\nDon't cling\nDon't hoax\nDon't freak, peak\nDon't leak\nDon't speak (I feel numb)\n\n(I feel numb)\nDon't project\nDon't connect\nProtect\nDon't expect\nSuggest\n(I feel numb)\n\nDon't project\nDon't connect\nProtect\nDon't expect\nSuggest\n(I feel numb)\n\nDon't struggle\nDon't jerk\nDon't collar\nDon't work\nDon't wish\nDon't fish\nDon't teach\nDon't reach\n(I feel numb)\n\n(Too much is not enough)\nDon't borrow\nDon't break (I feel numb)\nDon't fence\nDon't steal\nDon't pass\nDon't press\ntry\nDon't feel\n(Gimme some more)\n\n(I feel numb)\nDon't touch\nDon't dive\nDon't suffer\nDon't rhyme\nDon't fantasize\nDon't rise\nDon't lie\n\n(I feel numb)\nDon't project\nDon't connect\nProtect (I feel numb)\nDon't expect\nSuggest\n\nDon't project\nDon't connect\nProtect (I feel numb)\nDon't expect\nSuggest\n\n(I feel numb)"
2,U2,Acrobat," hear\nDon't believe what you see\nIf you just close your eyes\nYou can feel the enemy\n\nWhen I first met you, girl\nYou had fire in your soul\nWhat happened to your face of melting snow?\n\nNow it looks like this\nAnd you can swallow or you can spit\nYou can throw it up or choke on it\nAnd you can dream, so dream out loud\nYou know that your time is coming 'round\nSo don't let the bastards grind you down\n\nNo, nothing makes sense\nNothing seems to fit\nI know you'd get out\nIf you only knew who to hit\n\nAnd I'd join the movement\nIf there was one I could believe in\nYeah, I'd break bread and wine\nIf there was a church I could receive in\n\n'Cause I need it now\nTo take a cup\nTo fill it up\nTo drink it slow\nI can't let you go\n\nI must be an acrobat\nTo talk like this and act like that\nAnd you can dream, so dream out loud\nAnd don't let the bastards grind you down\n\nOh, it hurts, baby\n(What are we going to do now, it's all been said)\n(No new ideas in the house and every book has been read)\n\nAnd I must be an acrobat\nTo talk like this and act like that\nAnd you can dream, so dream out loud\nAnd you can find your own way out\n\nYou can build and I can will\nAnd you can call, I can't wait until\nYou can smash and you can seize\nIn dreams begin responsibilities\n\nAnd I can love\nAnd I can love\nI know that the tide is turning 'round\nSo don't let the bastards grind you down"
3,U2,North and South of the River,"er the loch\nAnd feel your hand across the water\nWalk with you along an unapproved road\nNot looking over my shoulder\n\nI want to see, and I want to hear\nTo understand your fears\nBut we're north and south of the river\n\nI've been doing it wrong all of my life\nThis holy town has turned me over\nA young man running from what he didn't understand\nThe wind from the loch just get colder, colder\n\nThere was a badness that had it's way\nBut love wasn't lost, love will have it's day\nNorth and south of the river\nNorth and south of the river\n\nCan we stop playing these old tattoos\nDarling I don't have the answer\nI want to meet you where you are\nI don't need you to surrender\n\n'Cause there's no feeling that's so alone\nAs when the one you're hurting is your own\nNorth and south of the river\nNorth and south of the river\nNorth and south of the river\n\nSome high ground is not worth taking\nSome connections are not worth making\nThere's an old church bell no longer ringing\nSome old songs are not worth bringing\nNorth...\n(Higher ground is not worth taking)\nNorth and south of the river"
4,U2,Sweetest Thing," love she throws me like a rubber ball\nOh oh oh, the sweetest thing\nShe won't catch me or break my fall\nOh oh oh, the sweetest thing\nBaby's got blue skies up ahead\nBut in this I'm a rain cloud\nYou know she wants a dry kind of love\nOh oh oh, the sweetest thing\n\nI'm losing you\nI'm losing you\nAin't love the sweetest thing\n\nI wanted to run but she made me crawl\nOh oh oh, the sweetest thing\nEternal fire, she turned me to straw\nOh oh, the sweetest thing\nI know I got black eyes\nBut they burn so brightly for her\nThis is a blind kind of love\nOh oh oh, the sweetest thing\n\nI'm losing you\nWhoa ha, I'm losing you\nAin't love the sweetest thing\n\nAin't love the sweetest thing\nAin't love the sweetest thing\nAin't love the sweetest thing\n\nAh ha ha\nAh ha ha\n\nBlue-eyed boy meets a brown-eyed girl\nOh oh oh, the sweetest thing\nYou can sew it up but you still see the tear\nOh oh oh, the sweetest thing\nBaby's got blue skies up ahead\nBut in this I'm a rain cloud\nOurs is a stormy kind of love\nOh oh oh, the sweetest thing\n\nDo do do do, do do do do\nDo do do do, do do do do\nDo do do do, do do do do\nDo do do do, do do do do\nDo do do do, do do do do\nThe sweetest thing\nDo do do do, do do do do\n\nOoh Ooh The Sweetest Thing (Bono)"
5,U2,"Hold Me, Thrill Me, Kiss Me, Kill Me"," took it\nYou just know what you got\nOh lordy, you've been stealing from the thieves\nAnd you got caught\n\nIn the headlights of a stretch car\nYou're a star\n\nDressing like your sister\nLiving like a tart\nThey don't know what you're doing\nBabe, it must be art\n\nYou're a headache in a suitcase\nYou're a star\n\nOh no, don't be shy\nYou don't have to go blind\nHold me\nThrill me\nKiss me\nKill me\n\nYou don't know how you got here\nYou just know you want out\nBelieving in yourself\nAlmost as much as you doubt\n\nYou're a big smash\nYou wear it like a rash\nStar\n\nOh no, don't be shy\nThere's a crowd to cry\nHold me\nThrill me\nKiss me\nKill me\n\nHey, oh oh\n\nThey want you to be Jesus\nThey'll go down on one knee\nBut they'll want their money back\nIf you're alive at thirty-three\n\nAnd you're turning tricks with your crucifix\nYou're a star, oh child\n\nOf course you're not shy\nYou don't have to deny love\nHold me\nThrill me\nKiss me\nKill me"
6,U2,No Line on the Horizon,"ke the sea\nI watch her changing every day for me\nOh yeah\nOh oh oh oh\n\nOne day she's still, the next she swells\nYou can hear the universe in her sea shells\nOh yeah\nOh oh oh oh, ooh\n\nNo, no line on the horizon\nNo line\n\nI know a girl with a hole in her heart\nShe said infinity is a great place to start\nOh oh oh oh\n\n\""Time is irrelevant, it's not linear.\""\nThen she put her tongue in my ear\nAh\nOh oh oh oh\n\nNo, no line on the horizon\nNo, no line\nNo, no line on the horizon\nNo, no line\n\nOh, oh, oh, oh\nOh, oh, oh, oh\n\nThe songs in your head are now on my mind\nYou put me on pause\nI'm trying to rewind\nAnd replay\n\nEvery night I have the same dream\nI'm hatching some plot, scheming some scheme\nOh yeah\nOh oh oh oh\n\nI'm a traffic cop, rue du Marais\nThe sirens wailing\nBut it's me that wants to get away\nOh oh oh oh, ooh\n\nNo, no line on the horizon\nNo, no line\nNo, no line on the horizon\nNo, no line"
7,U2,Lemon,"the sunlight\nShe wore lemon\nBut never in the deep end\n\nShe's gonna make you cry\nShe's gonna make you whisper and moan\nAnd when you're dry\nShe draws her water from the stone\n\nI feel like I'm slowly, slowly, slowly slippin' under\nAnd I feel like I'm holding on to nothing\n\nShe wore lemon\nTo colour in the cold, grey night\nShe had heaven\nAnd she held on so tight\n\nA man makes a picture, a moving picture\nThrough the light projected he can see himself up close\nA man captures colour, a man likes to stare\nHe turns his money into light to look for her\n\nAnd I feel like I'm drifting, drifting, drifting from the shore\nAnd I feel like I'm swimming out to her\n\nMidnight is where the day begins\nMidnight is where the day begins\nMidnight is where the day begins\n\nLemon\nSee-through in the sunlight\n\nA man builds a city with banks and cathedrals\nA man melts the sand so he can see the world outside\n(You're gonna meet her there)\n\nA man makes a car\n(She's your destination)\nAnd builds a road to run them on\n(You gotta get to her)\nA man dreams of leaving\n(She's imagination)\nBut he always stays behind\n\nAnd these are the days when our work has come asunder\nAnd these are the days when we look for something other\n\nMidnight is where the day begins\nMidnight is where the day begins\nMidnight is where the day begins\nMidnight is where the day begins\n\nMidnight is where the day begins\nMidnight is where the day begins\nMidnight is where the day begins\nMidnight is where the day begins\n\nA man makes a picture, a moving picture\nThrough the light projected he can see himself up close\n(You're gonna meet her there)\nA man captures colour\n(She's your destination)\nA man likes to stare\n(There's no sleepin' there)\nHe turns his money into light\n(She's imagination)\nTo look for her\n\n(Lemon)\nShe is the dreamer, she's imagination\n(She had heaven)\nThrough the light projected\n(Can you see through?)\nHe can see himself up close\n(She wore lemon)"
8,U2,In a Little While,"ely you'll be mine\nIn a little while I'll be there\nIn a little while\nThis hurt will hurt no more\nI'll be home, love\n\nWhen the night takes a deep breath\nAnd the daylight has no air\nIf I crawl, if I come crawling home\nWill you be there?\n\nIn a little while\nI won't be blown by every breeze\nFriday night running to Sunday on my knees\nThat girl, that girl she's mine\nWell I've know her since, since she was\n\nA little girl with Spanish eyes\nWhen I saw her first in a pram they pushed her by\nOoh, my how you've grown\nWell it's been, it's been a little while\n\nOoh, ooh\nOoh, ooh\n\nSlow down my beating heart\nA man dreams one day to fly\nA man takes a rocket ship into the skies\nHe lives on a star that's dying in the night\nAnd follows in the trail, the scatter of light\n\nTurn it on, turn it on, you turn me on\n\nOoh, slow down my beating heart\nOoh, slowly, slowly love\nSlow down my beating heart\nSlowly, slowly love\nSlow down my beating heart\nSlowly, slowly love"
